,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,kegg_pathways_v1,KEGG:HSA05200,Pathways in cancer,4.380555969656092e-09,True,Pathways in cancer,116,1216,113,1601,0.09292763157894737,0.9741379310344828,query_1,[]
1,kegg_pathways_v1,KEGG:HSA04151,PI3K-Akt signaling pathway,1.43275176125895e-07,True,PI3K-Akt signaling pathway,94,1216,92,1601,0.0756578947368421,0.9787234042553191,query_1,[]
2,kegg_pathways_v1,KEGG:HSA04510,Focal adhesion,0.00014507763283851856,True,Focal adhesion,68,1216,66,1601,0.054276315789473686,0.9705882352941176,query_1,[]
3,kegg_pathways_v1,KEGG:HSA04010,MAPK signaling pathway,0.00018793362370407186,True,MAPK signaling pathway,67,1216,65,1601,0.05345394736842105,0.9701492537313433,query_1,[]
4,kegg_pathways_v1,KEGG:HSA04015,Rap1 signaling pathway,0.0002461172305021671,True,Rap1 signaling pathway,57,1216,56,1601,0.046052631578947366,0.9824561403508771,query_1,[]
5,kegg_pathways_v1,KEGG:HSA04014,Ras signaling pathway,0.000285736153339211,True,Ras signaling pathway,46,1216,46,1601,0.03782894736842105,1.0,query_1,[]
6,kegg_pathways_v1,KEGG:HSA05206,MicroRNAs in cancer,0.002718379587599154,True,MicroRNAs in cancer,48,1216,47,1601,0.038651315789473686,0.9791666666666666,query_1,[]
7,kegg_pathways_v1,KEGG:HSA05146,Amoebiasis,0.004857157623563296,True,Amoebiasis,36,1216,36,1601,0.029605263157894735,1.0,query_1,[]
8,kegg_pathways_v1,KEGG:HSA04810,Regulation of actin cytoskeleton,0.00839783634669456,True,Regulation of actin cytoskeleton,52,1216,50,1601,0.04111842105263158,0.9615384615384616,query_1,[]
9,kegg_pathways_v1,KEGG:HSA04080,Neuroactive ligand-receptor interaction,0.009660656906157307,True,Neuroactive ligand-receptor interaction,73,1216,68,1601,0.05592105263157895,0.9315068493150684,query_1,[]
10,kegg_pathways_v1,KEGG:HSA05417,Lipid and atherosclerosis,0.010117296474576685,True,Lipid and atherosclerosis,43,1216,42,1601,0.03453947368421053,0.9767441860465116,query_1,[]
11,kegg_pathways_v1,KEGG:HSA04724,Glutamatergic synapse,0.011317145281710645,True,Glutamatergic synapse,33,1216,33,1601,0.027138157894736843,1.0,query_1,[]
12,kegg_pathways_v1,KEGG:HSA04550,Signaling pathways regulating pluripotency of stem cells,0.0131329650763824,True,Signaling pathways regulating pluripotency of stem cells,42,1216,41,1601,0.033717105263157895,0.9761904761904762,query_1,[]
13,kegg_pathways_v1,KEGG:HSA04935,"Growth hormone synthesis, secretion and action",0.014997129178212838,True,"Growth hormone synthesis, secretion and action",32,1216,32,1601,0.02631578947368421,1.0,query_1,[]
14,kegg_pathways_v1,KEGG:HSA05205,Proteoglycans in cancer,0.017574289103668754,True,Proteoglycans in cancer,49,1216,47,1601,0.038651315789473686,0.9591836734693877,query_1,[]
15,kegg_pathways_v1,KEGG:HSA05165,Human papillomavirus infection,0.027721185120841603,True,Human papillomavirus infection,87,1216,79,1601,0.0649671052631579,0.9080459770114943,query_1,[]
16,kegg_pathways_v1,KEGG:HSA05161,Hepatitis B,0.028601924571489398,True,Hepatitis B,39,1216,38,1601,0.03125,0.9743589743589743,query_1,[]
17,kegg_pathways_v1,KEGG:HSA05171,Coronavirus disease - COVID-19,0.028601924571489398,True,Coronavirus disease - COVID-19,39,1216,38,1601,0.03125,0.9743589743589743,query_1,[]
18,kegg_pathways_v1,KEGG:HSA04360,Axon guidance,0.031092745189295005,True,Axon guidance,54,1216,51,1601,0.04194078947368421,0.9444444444444444,query_1,[]
19,kegg_pathways_v1,KEGG:HSA05160,Hepatitis C,0.03485641784582584,True,Hepatitis C,29,1216,29,1601,0.023848684210526317,1.0,query_1,[]
20,kegg_pathways_v1,KEGG:HSA04926,Relaxin signaling pathway,0.04615247918475083,True,Relaxin signaling pathway,28,1216,28,1601,0.023026315789473683,1.0,query_1,[]
