,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,kegg_pathways_v1,KEGG:HSA04935,"Growth hormone synthesis, secretion and action",1.559490019012601e-20,True,"Growth hormone synthesis, secretion and action",35,20,17,1115,0.85,0.4857142857142857,query_1,[]
1,kegg_pathways_v1,KEGG:HSA05200,Pathways in cancer,5.064273806105745e-14,True,Pathways in cancer,92,20,18,1115,0.9,0.1956521739130435,query_1,[]
2,kegg_pathways_v1,KEGG:HSA05161,Hepatitis B,2.3986905783963906e-13,True,Hepatitis B,21,20,12,1115,0.6,0.5714285714285714,query_1,[]
3,kegg_pathways_v1,KEGG:HSA04015,Rap1 signaling pathway,1.1539191850616544e-12,True,Rap1 signaling pathway,53,20,15,1115,0.75,0.2830188679245283,query_1,[]
4,kegg_pathways_v1,KEGG:HSA04750,Inflammatory mediator regulation of TRP channels,4.130378285846193e-12,True,Inflammatory mediator regulation of TRP channels,25,20,12,1115,0.6,0.48,query_1,[]
5,kegg_pathways_v1,KEGG:HSA05163,Human cytomegalovirus infection,8.142500384018886e-12,True,Human cytomegalovirus infection,35,20,13,1115,0.65,0.37142857142857144,query_1,[]
6,kegg_pathways_v1,KEGG:HSA04370,VEGF signaling pathway,1.1711647138603758e-11,True,VEGF signaling pathway,10,20,9,1115,0.45,0.9,query_1,[]
7,kegg_pathways_v1,KEGG:HSA05205,Proteoglycans in cancer,4.3730002922913387e-11,True,Proteoglycans in cancer,39,20,13,1115,0.65,0.3333333333333333,query_1,[]
8,kegg_pathways_v1,KEGG:HSA04664,Fc epsilon RI signaling pathway,6.38370564407441e-11,True,Fc epsilon RI signaling pathway,11,20,9,1115,0.45,0.8181818181818182,query_1,[]
9,kegg_pathways_v1,KEGG:HSA04933,AGE-RAGE signaling pathway in diabetic complications,6.906822467313724e-11,True,AGE-RAGE signaling pathway in diabetic complications,22,20,11,1115,0.55,0.5,query_1,[]
10,kegg_pathways_v1,KEGG:HSA05223,Non-small cell lung cancer,8.956057883386671e-11,True,Non-small cell lung cancer,16,20,10,1115,0.5,0.625,query_1,[]
11,kegg_pathways_v1,KEGG:HSA05206,MicroRNAs in cancer,1.709951809741259e-10,True,MicroRNAs in cancer,32,20,12,1115,0.6,0.375,query_1,[]
12,kegg_pathways_v1,KEGG:HSA04012,ErbB signaling pathway,2.1570664907489438e-10,True,ErbB signaling pathway,17,20,10,1115,0.5,0.5882352941176471,query_1,[]
13,kegg_pathways_v1,KEGG:HSA04926,Relaxin signaling pathway,2.4072334256125756e-10,True,Relaxin signaling pathway,24,20,11,1115,0.55,0.4583333333333333,query_1,[]
14,kegg_pathways_v1,KEGG:HSA04919,Thyroid hormone signaling pathway,4.096399304962679e-10,True,Thyroid hormone signaling pathway,34,20,12,1115,0.6,0.35294117647058826,query_1,[]
15,kegg_pathways_v1,KEGG:HSA01521,EGFR tyrosine kinase inhibitor resistance,4.813256967955251e-10,True,EGFR tyrosine kinase inhibitor resistance,18,20,10,1115,0.5,0.5555555555555556,query_1,[]
16,kegg_pathways_v1,KEGG:HSA04014,Ras signaling pathway,1.9679391552664926e-09,True,Ras signaling pathway,38,20,12,1115,0.6,0.3157894736842105,query_1,[]
17,kegg_pathways_v1,KEGG:HSA05231,Choline metabolism in cancer,1.9987470361045186e-09,True,Choline metabolism in cancer,20,20,10,1115,0.5,0.5,query_1,[]
18,kegg_pathways_v1,KEGG:HSA04071,Sphingolipid signaling pathway,1.9987470361045186e-09,True,Sphingolipid signaling pathway,20,20,10,1115,0.5,0.5,query_1,[]
19,kegg_pathways_v1,KEGG:HSA05225,Hepatocellular carcinoma,2.0090221062038968e-09,True,Hepatocellular carcinoma,28,20,11,1115,0.55,0.39285714285714285,query_1,[]
