,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,kegg_pathways_v1,KEGG:HSA05200,Pathways in cancer,6.741220750663882e-09,True,Pathways in cancer,142,19,13,1726,0.6842105263157895,0.09154929577464789,query_1,[]
1,kegg_pathways_v1,KEGG:HSA05225,Hepatocellular carcinoma,5.024535966169615e-08,True,Hepatocellular carcinoma,34,19,8,1726,0.42105263157894735,0.23529411764705882,query_1,[]
2,kegg_pathways_v1,KEGG:HSA01522,Endocrine resistance,6.475778535068796e-08,True,Endocrine resistance,35,19,8,1726,0.42105263157894735,0.22857142857142856,query_1,[]
3,kegg_pathways_v1,KEGG:HSA05219,Bladder cancer,9.983957945201751e-08,True,Bladder cancer,13,19,6,1726,0.3157894736842105,0.46153846153846156,query_1,[]
4,kegg_pathways_v1,KEGG:HSA05202,Transcriptional misregulation in cancer,3.1186450667205005e-07,True,Transcriptional misregulation in cancer,42,19,8,1726,0.42105263157894735,0.19047619047619047,query_1,[]
5,kegg_pathways_v1,KEGG:HSA05205,Proteoglycans in cancer,1.8761843997180116e-06,True,Proteoglycans in cancer,52,19,8,1726,0.42105263157894735,0.15384615384615385,query_1,[]
6,kegg_pathways_v1,KEGG:HSA05215,Prostate cancer,2.996588644810419e-06,True,Prostate cancer,21,19,6,1726,0.3157894736842105,0.2857142857142857,query_1,[]
7,kegg_pathways_v1,KEGG:HSA05206,MicroRNAs in cancer,4.6145813577472295e-06,True,MicroRNAs in cancer,58,19,8,1726,0.42105263157894735,0.13793103448275862,query_1,[]
8,kegg_pathways_v1,KEGG:HSA05226,Gastric cancer,3.091381912020624e-05,True,Gastric cancer,30,19,6,1726,0.3157894736842105,0.2,query_1,[]
9,kegg_pathways_v1,KEGG:HSA04915,Estrogen signaling pathway,3.8082578516485224e-05,True,Estrogen signaling pathway,31,19,6,1726,0.3157894736842105,0.1935483870967742,query_1,[]
10,kegg_pathways_v1,KEGG:HSA04926,Relaxin signaling pathway,5.65397638534361e-05,True,Relaxin signaling pathway,33,19,6,1726,0.3157894736842105,0.18181818181818182,query_1,[]
11,kegg_pathways_v1,KEGG:HSA05218,Melanoma,7.911984735594492e-05,True,Melanoma,19,19,5,1726,0.2631578947368421,0.2631578947368421,query_1,[]
12,kegg_pathways_v1,KEGG:HSA01521,EGFR tyrosine kinase inhibitor resistance,0.00010477497958850075,True,EGFR tyrosine kinase inhibitor resistance,20,19,5,1726,0.2631578947368421,0.25,query_1,[]
13,kegg_pathways_v1,KEGG:HSA04520,Adherens junction,0.00013658072675840392,True,Adherens junction,21,19,5,1726,0.2631578947368421,0.23809523809523808,query_1,[]
14,kegg_pathways_v1,KEGG:HSA05418,Fluid shear stress and atherosclerosis,0.00034698237740494683,True,Fluid shear stress and atherosclerosis,25,19,5,1726,0.2631578947368421,0.2,query_1,[]
