,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,kegg_pathways_v1,KEGG:HSA05200,Pathways in cancer,1.1317482762219029e-05,True,Pathways in cancer,116,19,10,1601,0.5263157894736842,0.08620689655172414,query_1,[]
1,kegg_pathways_v1,KEGG:HSA04919,Thyroid hormone signaling pathway,0.0002364692756103208,True,Thyroid hormone signaling pathway,39,19,6,1601,0.3157894736842105,0.15384615384615385,query_1,[]
2,kegg_pathways_v1,KEGG:HSA05224,Breast cancer,0.0031283154798378175,True,Breast cancer,36,19,5,1601,0.2631578947368421,0.1388888888888889,query_1,[]
3,kegg_pathways_v1,KEGG:HSA05210,Colorectal cancer,0.004767077576838471,True,Colorectal cancer,20,19,4,1601,0.21052631578947367,0.2,query_1,[]
4,kegg_pathways_v1,KEGG:HSA05167,Kaposi sarcoma-associated herpesvirus infection,0.005992252318240288,True,Kaposi sarcoma-associated herpesvirus infection,41,19,5,1601,0.2631578947368421,0.12195121951219512,query_1,[]
5,kegg_pathways_v1,KEGG:HSA04550,Signaling pathways regulating pluripotency of stem cells,0.006751720824680722,True,Signaling pathways regulating pluripotency of stem cells,42,19,5,1601,0.2631578947368421,0.11904761904761904,query_1,[]
6,kegg_pathways_v1,KEGG:HSA05163,Human cytomegalovirus infection,0.010561149170667252,True,Human cytomegalovirus infection,46,19,5,1601,0.2631578947368421,0.10869565217391304,query_1,[]
7,kegg_pathways_v1,KEGG:HSA05206,MicroRNAs in cancer,0.01299795963694254,True,MicroRNAs in cancer,48,19,5,1601,0.2631578947368421,0.10416666666666667,query_1,[]
8,kegg_pathways_v1,KEGG:HSA04110,Cell cycle,0.01637643462461757,True,Cell cycle,27,19,4,1601,0.21052631578947367,0.14814814814814814,query_1,[]
9,kegg_pathways_v1,KEGG:HSA05160,Hepatitis C,0.02182943514548715,True,Hepatitis C,29,19,4,1601,0.21052631578947367,0.13793103448275862,query_1,[]
10,kegg_pathways_v1,KEGG:HSA04722,Neurotrophin signaling pathway,0.024997620557594667,True,Neurotrophin signaling pathway,30,19,4,1601,0.21052631578947367,0.13333333333333333,query_1,[]
11,kegg_pathways_v1,KEGG:HSA04062,Chemokine signaling pathway,0.02848421543788265,True,Chemokine signaling pathway,31,19,4,1601,0.21052631578947367,0.12903225806451613,query_1,[]
12,kegg_pathways_v1,KEGG:HSA05162,Measles,0.03230749355899925,True,Measles,32,19,4,1601,0.21052631578947367,0.125,query_1,[]
13,kegg_pathways_v1,KEGG:HSA05203,Viral carcinogenesis,0.04598337100809204,True,Viral carcinogenesis,35,19,4,1601,0.21052631578947367,0.11428571428571428,query_1,[]
