,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,REAC,REAC:R-HSA-8939211,ESR-mediated signaling,3.800026741603872e-07,True,ESR-mediated signaling,30,20,8,2786,0.4,0.26666666666666666,query_1,['REAC:R-HSA-9006931']
1,REAC,REAC:R-HSA-9006931,Signaling by Nuclear Receptors,7.314834862696122e-06,True,Signaling by Nuclear Receptors,42,20,8,2786,0.4,0.19047619047619047,query_1,['REAC:R-HSA-162582']
2,REAC,REAC:R-HSA-1643685,Disease,2.2466498899681517e-05,True,Disease,239,20,13,2786,0.65,0.05439330543933055,query_1,['REAC:0000000']
3,REAC,REAC:R-HSA-162582,Signal Transduction,0.0025181470442479357,True,Signal Transduction,426,20,14,2786,0.7,0.03286384976525822,query_1,['REAC:0000000']
4,REAC,REAC:R-HSA-9018519,Estrogen-dependent gene expression,0.004494354141267206,True,Estrogen-dependent gene expression,18,20,5,2786,0.25,0.2777777777777778,query_1,['REAC:R-HSA-8939211']
5,REAC,REAC:R-HSA-168256,Immune System,0.004633755989464946,True,Immune System,295,20,12,2786,0.6,0.04067796610169491,query_1,['REAC:0000000']
6,REAC,REAC:R-HSA-74160,Gene expression (Transcription),0.005204176181565977,True,Gene expression (Transcription),235,20,11,2786,0.55,0.04680851063829787,query_1,['REAC:0000000']
7,REAC,REAC:R-HSA-1280215,Cytokine Signaling in Immune system,0.005629136783970409,True,Cytokine Signaling in Immune system,94,20,8,2786,0.4,0.0851063829787234,query_1,['REAC:R-HSA-168256']
8,REAC,REAC:R-HSA-449147,Signaling by Interleukins,0.006632929853006973,True,Signaling by Interleukins,63,20,7,2786,0.35,0.1111111111111111,query_1,['REAC:R-HSA-1280215']
9,REAC,REAC:R-HSA-212436,Generic Transcription Pathway,0.010168719025844496,True,Generic Transcription Pathway,193,20,10,2786,0.5,0.05181347150259067,query_1,['REAC:R-HSA-73857']
10,REAC,REAC:R-HSA-5621575,CD209 (DC-SIGN) signaling,0.015832538891715167,True,CD209 (DC-SIGN) signaling,3,20,3,2786,0.15,1.0,query_1,['REAC:R-HSA-5621481']
11,REAC,REAC:R-HSA-2262752,Cellular responses to stress,0.018736670670966578,True,Cellular responses to stress,73,20,7,2786,0.35,0.0958904109589041,query_1,['REAC:R-HSA-8953897']
12,REAC,REAC:R-HSA-8953897,Cellular responses to external stimuli,0.022634886048141564,True,Cellular responses to external stimuli,75,20,7,2786,0.35,0.09333333333333334,query_1,['REAC:0000000']
13,REAC,REAC:R-HSA-73857,RNA Polymerase II Transcription,0.022733104751668884,True,RNA Polymerase II Transcription,210,20,10,2786,0.5,0.047619047619047616,query_1,['REAC:R-HSA-74160']
14,REAC,REAC:R-HSA-9009391,Extra-nuclear estrogen signaling,0.030901255314464603,True,Extra-nuclear estrogen signaling,11,20,4,2786,0.2,0.36363636363636365,query_1,['REAC:R-HSA-8939211']
15,REAC,REAC:R-HSA-168249,Innate Immune System,0.032779283029243725,True,Innate Immune System,164,20,9,2786,0.45,0.054878048780487805,query_1,['REAC:R-HSA-168256']
16,REAC,REAC:R-HSA-5357801,Programmed Cell Death,0.049275078436283926,True,Programmed Cell Death,28,20,5,2786,0.25,0.17857142857142858,query_1,['REAC:0000000']
