,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,REAC,REAC:R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,5.548885437483162e-14,True,Diseases of signal transduction by growth factor receptors and second messengers,64,20,14,2324,0.7,0.21875,query_1,['REAC:R-HSA-1643685']
1,REAC,REAC:R-HSA-1643685,Disease,1.1074335896652314e-12,True,Disease,216,20,18,2324,0.9,0.08333333333333333,query_1,['REAC:0000000']
2,REAC,REAC:R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,4.982078683176196e-12,True,Signaling by Receptor Tyrosine Kinases,86,20,14,2324,0.7,0.16279069767441862,query_1,['REAC:R-HSA-162582']
3,REAC,REAC:R-HSA-162582,Signal Transduction,2.4596981633597923e-10,True,Signal Transduction,361,20,19,2324,0.95,0.05263157894736842,query_1,['REAC:0000000']
4,REAC,REAC:R-HSA-8939211,ESR-mediated signaling,3.599747796133694e-08,True,ESR-mediated signaling,20,20,8,2324,0.4,0.4,query_1,['REAC:R-HSA-9006931']
5,REAC,REAC:R-HSA-9009391,Extra-nuclear estrogen signaling,6.207529006296967e-08,True,Extra-nuclear estrogen signaling,7,20,6,2324,0.3,0.8571428571428571,query_1,['REAC:R-HSA-8939211']
6,REAC,REAC:R-HSA-1227986,Signaling by ERBB2,8.969593345004114e-08,True,Signaling by ERBB2,13,20,7,2324,0.35,0.5384615384615384,query_1,['REAC:R-HSA-9006934']
7,REAC,REAC:R-HSA-9006931,Signaling by Nuclear Receptors,1.1763590518292045e-06,True,Signaling by Nuclear Receptors,29,20,8,2324,0.4,0.27586206896551724,query_1,['REAC:R-HSA-162582']
8,REAC,REAC:R-HSA-199418,Negative regulation of the PI3K/AKT network,7.983860338133513e-06,True,Negative regulation of the PI3K/AKT network,12,20,6,2324,0.3,0.5,query_1,['REAC:R-HSA-1257604']
9,REAC,REAC:R-HSA-2219528,PI3K/AKT Signaling in Cancer,2.567912003409257e-05,True,PI3K/AKT Signaling in Cancer,14,20,6,2324,0.3,0.42857142857142855,query_1,['REAC:R-HSA-5663202']
10,REAC,REAC:R-HSA-5655302,Signaling by FGFR1 in disease,2.8629156079881265e-05,True,Signaling by FGFR1 in disease,7,20,5,2324,0.25,0.7142857142857143,query_1,['REAC:R-HSA-1226099']
11,REAC,REAC:R-HSA-9006925,Intracellular signaling by second messengers,4.5295606659290714e-05,True,Intracellular signaling by second messengers,44,20,8,2324,0.4,0.18181818181818182,query_1,['REAC:R-HSA-162582']
12,REAC,REAC:R-HSA-2428928,IRS-related events triggered by IGF1R,7.593272389613876e-05,True,IRS-related events triggered by IGF1R,8,20,5,2324,0.25,0.625,query_1,['REAC:R-HSA-2428924']
