,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,REAC,REAC:R-HSA-381340,Transcriptional regulation of white adipocyte differentiation,6.08332868041807e-07,True,Transcriptional regulation of white adipocyte differentiation,34,20,7,5559,0.35,0.20588235294117646,query_1,['REAC:R-HSA-1266738']
1,REAC,REAC:R-HSA-212436,Generic Transcription Pathway,5.043966938551646e-06,True,Generic Transcription Pathway,419,20,13,5559,0.65,0.031026252983293555,query_1,['REAC:R-HSA-73857']
2,REAC,REAC:R-HSA-73857,RNA Polymerase II Transcription,1.5953605064783444e-05,True,RNA Polymerase II Transcription,459,20,13,5559,0.65,0.02832244008714597,query_1,['REAC:R-HSA-74160']
3,REAC,REAC:R-HSA-74160,Gene expression (Transcription),5.2914445123417545e-05,True,Gene expression (Transcription),505,20,13,5559,0.65,0.02574257425742574,query_1,['REAC:0000000']
4,REAC,REAC:R-HSA-8878166,Transcriptional regulation by RUNX2,0.004575351075145827,True,Transcriptional regulation by RUNX2,34,20,5,5559,0.25,0.14705882352941177,query_1,['REAC:R-HSA-212436']
5,REAC,REAC:R-HSA-9006931,Signaling by Nuclear Receptors,0.012131466483172872,True,Signaling by Nuclear Receptors,80,20,6,5559,0.3,0.075,query_1,['REAC:R-HSA-162582']
6,REAC,REAC:R-HSA-9018519,Estrogen-dependent gene expression,0.01745815034460519,True,Estrogen-dependent gene expression,44,20,5,5559,0.25,0.11363636363636363,query_1,['REAC:R-HSA-8939211']
7,REAC,REAC:R-HSA-1989781,PPARA activates gene expression,0.01959606204540536,True,PPARA activates gene expression,45,20,5,5559,0.25,0.1111111111111111,query_1,['REAC:R-HSA-400206']
8,REAC,REAC:R-HSA-400206,Regulation of lipid metabolism by PPARalpha,0.01959606204540536,True,Regulation of lipid metabolism by PPARalpha,45,20,5,5559,0.25,0.1111111111111111,query_1,['REAC:R-HSA-556833']
9,REAC,REAC:R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,0.024592903824325416,True,SUMO E3 ligases SUMOylate target proteins,90,20,6,5559,0.3,0.06666666666666667,query_1,['REAC:R-HSA-2990846']
10,REAC,REAC:R-HSA-2990846,SUMOylation,0.029911616551007433,True,SUMOylation,93,20,6,5559,0.3,0.06451612903225806,query_1,['REAC:R-HSA-597592']
11,REAC,REAC:R-HSA-162582,Signal Transduction,0.03686297225105721,True,Signal Transduction,862,20,13,5559,0.65,0.015081206496519721,query_1,['REAC:0000000']
