,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,kegg_pathways_v1,KEGG:HSA05033,Nicotine addiction,3.658089913158667e-10,True,Nicotine addiction,15,153,13,1601,0.08496732026143791,0.8666666666666667,query_1,[]
1,kegg_pathways_v1,KEGG:HSA04010,MAPK signaling pathway,6.121260379403359e-10,True,MAPK signaling pathway,67,153,27,1601,0.17647058823529413,0.40298507462686567,query_1,[]
2,kegg_pathways_v1,KEGG:HSA04080,Neuroactive ligand-receptor interaction,9.922330613329988e-10,True,Neuroactive ligand-receptor interaction,73,153,28,1601,0.1830065359477124,0.3835616438356164,query_1,[]
3,kegg_pathways_v1,KEGG:HSA05200,Pathways in cancer,5.411657002603345e-09,True,Pathways in cancer,116,153,35,1601,0.22875816993464052,0.3017241379310345,query_1,[]
4,kegg_pathways_v1,KEGG:HSA04726,Serotonergic synapse,4.450387981879796e-08,True,Serotonergic synapse,25,153,15,1601,0.09803921568627451,0.6,query_1,[]
5,kegg_pathways_v1,KEGG:HSA04723,Retrograde endocannabinoid signaling,1.2283451368573448e-07,True,Retrograde endocannabinoid signaling,30,153,16,1601,0.10457516339869281,0.5333333333333333,query_1,[]
6,kegg_pathways_v1,KEGG:HSA04914,Progesterone-mediated oocyte maturation,1.8798473901284764e-07,True,Progesterone-mediated oocyte maturation,17,153,12,1601,0.0784313725490196,0.7058823529411765,query_1,[]
7,kegg_pathways_v1,KEGG:HSA04728,Dopaminergic synapse,7.506399499496969e-07,True,Dopaminergic synapse,29,153,15,1601,0.09803921568627451,0.5172413793103449,query_1,[]
8,kegg_pathways_v1,KEGG:HSA05207,Chemical carcinogenesis - receptor activation,9.57260974706705e-07,True,Chemical carcinogenesis - receptor activation,42,153,18,1601,0.11764705882352941,0.42857142857142855,query_1,[]
9,kegg_pathways_v1,KEGG:HSA01521,EGFR tyrosine kinase inhibitor resistance,1.2633043658364926e-06,True,EGFR tyrosine kinase inhibitor resistance,26,153,14,1601,0.0915032679738562,0.5384615384615384,query_1,[]
10,kegg_pathways_v1,KEGG:HSA04727,GABAergic synapse,1.2901981141391875e-06,True,GABAergic synapse,19,153,12,1601,0.0784313725490196,0.631578947368421,query_1,[]
11,kegg_pathways_v1,KEGG:HSA05031,Amphetamine addiction,1.2901981141391875e-06,True,Amphetamine addiction,19,153,12,1601,0.0784313725490196,0.631578947368421,query_1,[]
12,kegg_pathways_v1,KEGG:HSA04020,Calcium signaling pathway,1.8042035060937772e-06,True,Calcium signaling pathway,63,153,22,1601,0.1437908496732026,0.3492063492063492,query_1,[]
13,kegg_pathways_v1,KEGG:HSA04725,Cholinergic synapse,4.423091497234295e-06,True,Cholinergic synapse,28,153,14,1601,0.0915032679738562,0.5,query_1,[]
14,kegg_pathways_v1,KEGG:HSA05020,Prion disease,5.722623902706453e-06,True,Prion disease,51,153,19,1601,0.12418300653594772,0.37254901960784315,query_1,[]
15,kegg_pathways_v1,KEGG:HSA05032,Morphine addiction,6.343504493771512e-06,True,Morphine addiction,21,153,12,1601,0.0784313725490196,0.5714285714285714,query_1,[]
16,kegg_pathways_v1,KEGG:HSA04720,Long-term potentiation,1.2812395986144313e-05,True,Long-term potentiation,22,153,12,1601,0.0784313725490196,0.5454545454545454,query_1,[]
17,kegg_pathways_v1,KEGG:HSA05205,Proteoglycans in cancer,1.7246978915336125e-05,True,Proteoglycans in cancer,49,153,18,1601,0.11764705882352941,0.3673469387755102,query_1,[]
18,kegg_pathways_v1,KEGG:HSA05034,Alcoholism,1.990707775945798e-05,True,Alcoholism,19,153,11,1601,0.0718954248366013,0.5789473684210527,query_1,[]
19,kegg_pathways_v1,KEGG:HSA04024,cAMP signaling pathway,2.474982260832129e-05,True,cAMP signaling pathway,50,153,18,1601,0.11764705882352941,0.36,query_1,[]
20,kegg_pathways_v1,KEGG:HSA04014,Ras signaling pathway,3.5769956617264755e-05,True,Ras signaling pathway,46,153,17,1601,0.1111111111111111,0.3695652173913043,query_1,[]
21,kegg_pathways_v1,KEGG:HSA04066,HIF-1 signaling pathway,4.0618650563352494e-05,True,HIF-1 signaling pathway,20,153,11,1601,0.0718954248366013,0.55,query_1,[]
22,kegg_pathways_v1,KEGG:HSA04540,Gap junction,4.516007535143767e-05,True,Gap junction,24,153,12,1601,0.0784313725490196,0.5,query_1,[]
23,kegg_pathways_v1,KEGG:HSA04921,Oxytocin signaling pathway,9.188141324571846e-05,True,Oxytocin signaling pathway,34,153,14,1601,0.0915032679738562,0.4117647058823529,query_1,[]
24,kegg_pathways_v1,KEGG:HSA05161,Hepatitis B,0.00010355307496868759,True,Hepatitis B,39,153,15,1601,0.09803921568627451,0.38461538461538464,query_1,[]
25,kegg_pathways_v1,KEGG:HSA04015,Rap1 signaling pathway,0.0002343258076534574,True,Rap1 signaling pathway,57,153,18,1601,0.11764705882352941,0.3157894736842105,query_1,[]
26,kegg_pathways_v1,KEGG:HSA05030,Cocaine addiction,0.000248998756762883,True,Cocaine addiction,12,153,8,1601,0.05228758169934641,0.6666666666666666,query_1,[]
27,kegg_pathways_v1,KEGG:HSA05022,Pathways of neurodegeneration - multiple diseases,0.00034880244077369955,True,Pathways of neurodegeneration - multiple diseases,101,153,25,1601,0.16339869281045752,0.24752475247524752,query_1,[]
28,kegg_pathways_v1,KEGG:HSA04659,Th17 cell differentiation,0.000405282053106452,True,Th17 cell differentiation,16,153,9,1601,0.058823529411764705,0.5625,query_1,[]
29,kegg_pathways_v1,KEGG:HSA05417,Lipid and atherosclerosis,0.00044332445401781226,True,Lipid and atherosclerosis,43,153,15,1601,0.09803921568627451,0.3488372093023256,query_1,[]
30,kegg_pathways_v1,KEGG:HSA05016,Huntington disease,0.0007043806113479271,True,Huntington disease,61,153,18,1601,0.11764705882352941,0.29508196721311475,query_1,[]
31,kegg_pathways_v1,KEGG:HSA05230,Central carbon metabolism in cancer,0.0008021261091484308,True,Central carbon metabolism in cancer,21,153,10,1601,0.06535947712418301,0.47619047619047616,query_1,[]
32,kegg_pathways_v1,KEGG:HSA04072,Phospholipase D signaling pathway,0.0009168206577452591,True,Phospholipase D signaling pathway,40,153,14,1601,0.0915032679738562,0.35,query_1,[]
33,kegg_pathways_v1,KEGG:HSA04713,Circadian entrainment,0.0011198968769264048,True,Circadian entrainment,26,153,11,1601,0.0718954248366013,0.4230769230769231,query_1,[]
34,kegg_pathways_v1,KEGG:HSA04933,AGE-RAGE signaling pathway in diabetic complications,0.0011198968769264048,True,AGE-RAGE signaling pathway in diabetic complications,26,153,11,1601,0.0718954248366013,0.4230769230769231,query_1,[]
35,kegg_pathways_v1,KEGG:HSA04114,Oocyte meiosis,0.0014541521556079944,True,Oocyte meiosis,18,153,9,1601,0.058823529411764705,0.5,query_1,[]
36,kegg_pathways_v1,KEGG:HSA05010,Alzheimer disease,0.0014883763313993628,True,Alzheimer disease,70,153,19,1601,0.12418300653594772,0.2714285714285714,query_1,[]
37,kegg_pathways_v1,KEGG:HSA04931,Insulin resistance,0.0017353748358866653,True,Insulin resistance,27,153,11,1601,0.0718954248366013,0.4074074074074074,query_1,[]
38,kegg_pathways_v1,KEGG:HSA05012,Parkinson disease,0.0018919053527295686,True,Parkinson disease,37,153,13,1601,0.08496732026143791,0.35135135135135137,query_1,[]
39,kegg_pathways_v1,KEGG:HSA04960,Aldosterone-regulated sodium reabsorption,0.0019830673120390663,True,Aldosterone-regulated sodium reabsorption,8,153,6,1601,0.0392156862745098,0.75,query_1,[]
40,kegg_pathways_v1,KEGG:HSA05206,MicroRNAs in cancer,0.0020851160929892705,True,MicroRNAs in cancer,48,153,15,1601,0.09803921568627451,0.3125,query_1,[]
41,kegg_pathways_v1,KEGG:HSA05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.002538754981908153,True,PD-L1 expression and PD-1 checkpoint pathway in cancer,19,153,9,1601,0.058823529411764705,0.47368421052631576,query_1,[]
42,kegg_pathways_v1,KEGG:HSA04917,Prolactin signaling pathway,0.002538754981908153,True,Prolactin signaling pathway,19,153,9,1601,0.058823529411764705,0.47368421052631576,query_1,[]
43,kegg_pathways_v1,KEGG:HSA04926,Relaxin signaling pathway,0.0026247103544321418,True,Relaxin signaling pathway,28,153,11,1601,0.0718954248366013,0.39285714285714285,query_1,[]
44,kegg_pathways_v1,KEGG:HSA04068,FoxO signaling pathway,0.0027462918732158318,True,FoxO signaling pathway,33,153,12,1601,0.0784313725490196,0.36363636363636365,query_1,[]
45,kegg_pathways_v1,KEGG:HSA05171,Coronavirus disease - COVID-19,0.003635378548110828,True,Coronavirus disease - COVID-19,39,153,13,1601,0.08496732026143791,0.3333333333333333,query_1,[]
46,kegg_pathways_v1,KEGG:HSA04919,Thyroid hormone signaling pathway,0.003635378548110828,True,Thyroid hormone signaling pathway,39,153,13,1601,0.08496732026143791,0.3333333333333333,query_1,[]
47,kegg_pathways_v1,KEGG:HSA05145,Toxoplasmosis,0.0038832360151328463,True,Toxoplasmosis,29,153,11,1601,0.0718954248366013,0.3793103448275862,query_1,[]
48,kegg_pathways_v1,KEGG:HSA04261,Adrenergic signaling in cardiomyocytes,0.003896827555987819,True,Adrenergic signaling in cardiomyocytes,34,153,12,1601,0.0784313725490196,0.35294117647058826,query_1,[]
49,kegg_pathways_v1,KEGG:HSA04930,Type II diabetes mellitus,0.00401619805737897,True,Type II diabetes mellitus,12,153,7,1601,0.0457516339869281,0.5833333333333334,query_1,[]
50,kegg_pathways_v1,KEGG:HSA05203,Viral carcinogenesis,0.005444580727196091,True,Viral carcinogenesis,35,153,12,1601,0.0784313725490196,0.34285714285714286,query_1,[]
51,kegg_pathways_v1,KEGG:HSA05167,Kaposi sarcoma-associated herpesvirus infection,0.006646516659861023,True,Kaposi sarcoma-associated herpesvirus infection,41,153,13,1601,0.08496732026143791,0.3170731707317073,query_1,[]
52,kegg_pathways_v1,KEGG:HSA05215,Prostate cancer,0.007898762508831437,True,Prostate cancer,26,153,10,1601,0.06535947712418301,0.38461538461538464,query_1,[]
53,kegg_pathways_v1,KEGG:HSA01522,Endocrine resistance,0.007898762508831437,True,Endocrine resistance,26,153,10,1601,0.06535947712418301,0.38461538461538464,query_1,[]
54,kegg_pathways_v1,KEGG:HSA04062,Chemokine signaling pathway,0.008014796788112587,True,Chemokine signaling pathway,31,153,11,1601,0.0718954248366013,0.3548387096774194,query_1,[]
55,kegg_pathways_v1,KEGG:HSA04613,Neutrophil extracellular trap formation,0.010608577950832872,True,Neutrophil extracellular trap formation,22,153,9,1601,0.058823529411764705,0.4090909090909091,query_1,[]
56,kegg_pathways_v1,KEGG:HSA04730,Long-term depression,0.010608577950832872,True,Long-term depression,22,153,9,1601,0.058823529411764705,0.4090909090909091,query_1,[]
57,kegg_pathways_v1,KEGG:HSA04935,"Growth hormone synthesis, secretion and action",0.011215963002729826,True,"Growth hormone synthesis, secretion and action",32,153,11,1601,0.0718954248366013,0.34375,query_1,[]
58,kegg_pathways_v1,KEGG:HSA04151,PI3K-Akt signaling pathway,0.012661620621852866,True,PI3K-Akt signaling pathway,94,153,21,1601,0.13725490196078433,0.22340425531914893,query_1,[]
59,kegg_pathways_v1,KEGG:HSA04012,ErbB signaling pathway,0.013295023011008971,True,ErbB signaling pathway,18,153,8,1601,0.05228758169934641,0.4444444444444444,query_1,[]
60,kegg_pathways_v1,KEGG:HSA05221,Acute myeloid leukemia,0.013295023011008971,True,Acute myeloid leukemia,18,153,8,1601,0.05228758169934641,0.4444444444444444,query_1,[]
61,kegg_pathways_v1,KEGG:HSA04370,VEGF signaling pathway,0.014738256580140538,True,VEGF signaling pathway,14,153,7,1601,0.0457516339869281,0.5,query_1,[]
62,kegg_pathways_v1,KEGG:HSA04150,mTOR signaling pathway,0.015450798567486905,True,mTOR signaling pathway,33,153,11,1601,0.0718954248366013,0.3333333333333333,query_1,[]
63,kegg_pathways_v1,KEGG:HSA04724,Glutamatergic synapse,0.015450798567486905,True,Glutamatergic synapse,33,153,11,1601,0.0718954248366013,0.3333333333333333,query_1,[]
64,kegg_pathways_v1,KEGG:HSA05130,Pathogenic Escherichia coli infection,0.018135782152461442,True,Pathogenic Escherichia coli infection,39,153,12,1601,0.0784313725490196,0.3076923076923077,query_1,[]
65,kegg_pathways_v1,KEGG:HSA04911,Insulin secretion,0.02111776339580958,True,Insulin secretion,19,153,8,1601,0.05228758169934641,0.42105263157894735,query_1,[]
66,kegg_pathways_v1,KEGG:HSA04213,Longevity regulating pathway - multiple species,0.02111776339580958,True,Longevity regulating pathway - multiple species,19,153,8,1601,0.05228758169934641,0.42105263157894735,query_1,[]
67,kegg_pathways_v1,KEGG:HSA05163,Human cytomegalovirus infection,0.025034813229411937,True,Human cytomegalovirus infection,46,153,13,1601,0.08496732026143791,0.2826086956521739,query_1,[]
68,kegg_pathways_v1,KEGG:HSA05415,Diabetic cardiomyopathy,0.031823154581013854,True,Diabetic cardiomyopathy,30,153,10,1601,0.06535947712418301,0.3333333333333333,query_1,[]
69,kegg_pathways_v1,KEGG:HSA04371,Apelin signaling pathway,0.031823154581013854,True,Apelin signaling pathway,30,153,10,1601,0.06535947712418301,0.3333333333333333,query_1,[]
