,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,REAC,REAC:R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,1.1960743694272122e-06,True,Diseases of signal transduction by growth factor receptors and second messengers,102,28,11,4028,0.39285714285714285,0.10784313725490197,query_1,['REAC:R-HSA-1643685']
1,REAC,REAC:R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,2.7905945300700817e-06,True,Signaling by Receptor Tyrosine Kinases,145,28,12,4028,0.42857142857142855,0.08275862068965517,query_1,['REAC:R-HSA-162582']
2,REAC,REAC:R-HSA-162582,Signal Transduction,9.954510213297145e-06,True,Signal Transduction,589,28,19,4028,0.6785714285714286,0.03225806451612903,query_1,['REAC:0000000']
3,REAC,REAC:R-HSA-1643685,Disease,0.0006560035989493146,True,Disease,348,28,14,4028,0.5,0.040229885057471264,query_1,['REAC:0000000']
4,REAC,REAC:R-HSA-2219528,PI3K/AKT Signaling in Cancer,0.0008547131203103575,True,PI3K/AKT Signaling in Cancer,27,28,6,4028,0.21428571428571427,0.2222222222222222,query_1,['REAC:R-HSA-5663202']
5,REAC,REAC:R-HSA-5633007,Regulation of TP53 Activity,0.0009124348921970528,True,Regulation of TP53 Activity,47,28,7,4028,0.25,0.14893617021276595,query_1,['REAC:R-HSA-3700989']
6,REAC,REAC:R-HSA-212436,Generic Transcription Pathway,0.0037377105839682405,True,Generic Transcription Pathway,270,28,12,4028,0.42857142857142855,0.044444444444444446,query_1,['REAC:R-HSA-73857']
7,REAC,REAC:R-HSA-1257604,PIP3 activates AKT signaling,0.004683004140037936,True,PIP3 activates AKT signaling,59,28,7,4028,0.25,0.11864406779661017,query_1,['REAC:R-HSA-9006925']
8,REAC,REAC:0000000,REACTOME root term,0.010293054518822009,True,REACTOME root term,2330,28,28,4028,1.0,0.01201716738197425,query_1,[]
9,REAC,REAC:R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",0.010509627302117316,True,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",21,28,5,4028,0.17857142857142858,0.23809523809523808,query_1,['REAC:R-HSA-199418']
10,REAC,REAC:R-HSA-73857,RNA Polymerase II Transcription,0.011633495161204106,True,RNA Polymerase II Transcription,299,28,12,4028,0.42857142857142855,0.04013377926421405,query_1,['REAC:R-HSA-74160']
11,REAC,REAC:R-HSA-9006925,Intracellular signaling by second messengers,0.012765933615566508,True,Intracellular signaling by second messengers,68,28,7,4028,0.25,0.10294117647058823,query_1,['REAC:R-HSA-162582']
12,REAC,REAC:R-HSA-199418,Negative regulation of the PI3K/AKT network,0.01721326290485257,True,Negative regulation of the PI3K/AKT network,23,28,5,4028,0.17857142857142858,0.21739130434782608,query_1,['REAC:R-HSA-1257604']
13,REAC,REAC:R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,0.01721326290485257,True,Regulation of TP53 Activity through Phosphorylation,23,28,5,4028,0.17857142857142858,0.21739130434782608,query_1,['REAC:R-HSA-5633007']
14,REAC,REAC:R-HSA-3700989,Transcriptional Regulation by TP53,0.023049128097701797,True,Transcriptional Regulation by TP53,74,28,7,4028,0.25,0.0945945945945946,query_1,['REAC:R-HSA-212436']
15,REAC,REAC:R-HSA-74160,Gene expression (Transcription),0.04181829976790105,True,Gene expression (Transcription),336,28,12,4028,0.42857142857142855,0.03571428571428571,query_1,['REAC:0000000']
