,ACH-000470,ACH-000249,ACH-000895,ACH-000489,ACH-000926,ACH-001345,ACH-000501,ACH-000412,ACH-000957,ACH-000943,ACH-000982,ACH-000969,ACH-000202,ACH-000820,ACH-000565,ACH-000798,ACH-000997,ACH-001454,ACH-001456,ACH-000985,ACH-000007,ACH-000552,ACH-000009,ACH-001459,ACH-000236,ACH-001458,ACH-001460,ACH-000971,ACH-000421,ACH-000958,ACH-001461,ACH-000967,ACH-000998,ACH-000286,ACH-000252,ACH-000680
ACH-000470,1.0,0.013630817989314111,0.009503785087739882,0.028835630141339014,0.0073902460482712104,0.0200319337450662,0.01538258691161605,0.011368827082170229,0.007398422400596258,0.02488493798479692,0.014907195255934182,0.022785886162010768,0.028427269170788697,0.04598567659253675,0.014621284755512944,0.020089879106272548,0.016117922578867613,0.018859347017495524,0.02794143829519153,0.011545640120347927,0.013666826394185018,0.022085883533741364,0.021396022246892972,0.02872304422574488,0.013749075288857281,0.02785544058021851,0.013342430154428759,0.024843025165600476,0.02565082557182103,0.03552639052347798,0.01870944963251609,0.031148694638963557,0.011516518012855649,0.024837247276711858,0.013469506533819271,0.027493764399002304
ACH-000249,0.013630817989314111,1.0,0.012100048400193601,0.027121636124735452,0.01372567923187614,0.025802965702863532,0.03600306090232404,0.042296212528503366,0.01751567068670771,0.03304561374311772,0.019221899930247716,0.02514710275760843,0.04286392889278651,0.015209686168559979,0.03151080389556458,0.032457607307906707,0.02349147858129894,0.016954326640835977,0.06667600471571478,0.01604492298949359,0.014380460980057177,0.021138395477951658,0.028878805249938418,0.048515685392221335,0.039881841900840556,0.06682963002042903,0.035333588142863206,0.030841445262854716,0.03984364239757068,0.03215340328930408,0.04452781849854923,0.03682618342952847,0.014911666029642843,0.016480799868153602,0.031184179963544313,0.023432809178391186
ACH-000895,0.009503785087739882,0.012100048400193601,1.0,0.013051228084309321,0.009693806217085333,0.021123600693106877,0.01940879077189231,0.010078981492396558,0.03714449179169572,0.03470329220707583,0.0368655834903416,0.03004707897356535,0.015417562814416018,0.022377208242342204,0.01377251146588479,0.016208994565707992,0.018635561721734067,0.012451373334905104,0.011815443753003082,0.030925327902011725,0.016222647023152934,0.011826173355113588,0.00976578300776871,0.013381676648093876,0.008397248248678858,0.009560972164593505,0.013857502238519592,0.018977409915694153,0.010149543336398975,0.02929830331842478,0.015178351169836214,0.031281775373406914,0.04269309896388522,0.005313379051681344,0.011526010601083825,0.018284536552780357
ACH-000489,0.028835630141339014,0.027121636124735452,0.013051228084309321,1.0,0.02384237825981428,0.03838125110795156,0.03207054036940736,0.03236188683354855,0.013501595340195518,0.04504148213005165,0.0380035121501844,0.04316957164710029,0.052988052390096935,0.038291722464565574,0.08263633604262925,0.03650912218751415,0.07046039650237108,0.024432825894176766,0.07908548590907755,0.02253977002867312,0.02202655930951588,0.043919703559815886,0.04539566343829876,0.07157754088360879,0.02799556245450639,0.04547148370339214,0.044430417225242415,0.07028647272690394,0.04458216603279266,0.05397546106165344,0.03754769699117996,0.057187105478129566,0.03510320886346627,0.027672767507261074,0.02836916337109611,0.034953732075009195
ACH-000926,0.0073902460482712104,0.01372567923187614,0.009693806217085333,0.02384237825981428,1.0,0.025969443017009444,0.01348875577318747,0.01475711271232907,0.019225885314482348,0.041365766348054146,0.029516425279751853,0.023924552805146056,0.02706901421711703,0.021299342493427294,0.017796040388517367,0.024960917984173797,0.02785984812713214,0.015597705987582868,0.0248585088242371,0.01766782239496684,0.016167198527630135,0.01221042978908916,0.024514446418365303,0.019862057555295895,0.014014679666694764,0.03063998802140386,0.02115362656602713,0.04211065962174779,0.022015530000960095,0.0271373322961093,0.020942356559455855,0.03238541730923447,0.0194876869790279,0.015267269534391361,0.03743300413177942,0.012231481885480752
ACH-001345,0.0200319337450662,0.025802965702863532,0.021123600693106877,0.03838125110795156,0.025969443017009444,1.0,0.02921846681219926,0.029247938802666684,0.028752769981209614,0.08391850298154661,0.11779788361679633,0.059823934258795085,0.029424556790605492,0.029087382771911228,0.054803803615173875,0.026526310327606224,0.06880752707204238,0.0254362003980858,0.0414989958698041,0.03032662871217677,0.021164646885886016,0.02105982781881651,0.029976840607076692,0.04402884763438578,0.023582197193858,0.03897203642210826,0.024433266287960467,0.06346680963807456,0.03444447335779403,0.05987581907153011,0.04063143828161797,0.07095984045414298,0.05212880841873076,0.019260110567301404,0.01977214603896777,0.023601526512025378
ACH-000501,0.01538258691161605,0.03600306090232404,0.01940879077189231,0.03207054036940736,0.01348875577318747,0.02921846681219926,1.0,0.07809659774732526,0.014406528003747495,0.05457648345066437,0.023512627499432576,0.039158956226410704,0.04969294666903884,0.03175422835598124,0.027214495204850926,0.04019273965654663,0.025103889084333808,0.028386689796562056,0.05541288431086653,0.020685976706573527,0.01892900464340073,0.031642147475612226,0.04007687288761901,0.05189759642951231,0.04326974813899845,0.03913382385940877,0.025589834271598003,0.041596892136466806,0.053002651600797535,0.03560179577789572,0.03686048969330204,0.057766214556452145,0.026367577434259312,0.037201465922227415,0.030839031045259133,0.02109897774580963
ACH-000412,0.011368827082170229,0.042296212528503366,0.010078981492396558,0.03236188683354855,0.01475711271232907,0.029247938802666684,0.07809659774732526,1.0,0.008123916287920866,0.04300940044644261,0.02129246619750785,0.03707559059701058,0.04200466167437709,0.02843559309573017,0.0480395619922289,0.024645078515047554,0.024658843453234276,0.03388271717355673,0.045197617366429486,0.018425929605398628,0.013989882317252702,0.028735333142544943,0.04125110251713142,0.048721344333291575,0.029784578477298883,0.0355173370066784,0.027932182434520884,0.03711733777370951,0.03564779805967467,0.030205403026826547,0.03345408921375932,0.044625381913200854,0.021639919965746657,0.026873207032692362,0.02473116309744078,0.018654509300510963
ACH-000957,0.007398422400596258,0.01751567068670771,0.03714449179169572,0.013501595340195518,0.019225885314482348,0.028752769981209614,0.014406528003747495,0.008123916287920866,1.0,0.03782922027730922,0.04547715963380738,0.036143137699477614,0.021992595950977627,0.015938157315210814,0.015519479839596268,0.0162358926789504,0.02266757336960145,0.014682940258786822,0.013494995940188485,0.024494982133007607,0.016185085443763573,0.013847192543163911,0.015899321093951025,0.015265165519915594,0.009801439177985968,0.015781600427012675,0.012156230930088267,0.02841486010600868,0.01509826000926127,0.022807883550536607,0.016709714031714794,0.03627593379597253,0.043167258605237825,0.008945311940918004,0.013812860206715962,0.012585137551843538
ACH-000943,0.02488493798479692,0.03304561374311772,0.03470329220707583,0.04504148213005165,0.041365766348054146,0.08391850298154661,0.05457648345066437,0.04300940044644261,0.03782922027730922,1.0,0.07387914501924071,0.12910994889845506,0.06301222929281934,0.04621010310121575,0.042617987725043854,0.05686509598855938,0.0944932564701798,0.0507089634357217,0.06046177263933038,0.04819866200753751,0.03465606550458461,0.03094107766035329,0.04764273741690848,0.05413691791042471,0.04514575830416115,0.057214568759903654,0.03784527559502826,0.11463513686244074,0.05374532482000301,0.10351724589068825,0.062170435703128406,0.1099804377417308,0.07357007005014954,0.023684778291547963,0.03191660947694332,0.03717958745594938
ACH-000982,0.014907195255934182,0.019221899930247716,0.0368655834903416,0.0380035121501844,0.029516425279751853,0.11779788361679633,0.023512627499432576,0.02129246619750785,0.04547715963380738,0.07387914501924071,1.0,0.054782244891477996,0.03719882830536891,0.02751134094378822,0.027000499831253553,0.03047235650672952,0.08753715134064854,0.022780544426554836,0.05267699271518495,0.04032318562747939,0.021002060032615653,0.019256588695312625,0.0279173338560721,0.056871842609729086,0.01680658266152549,0.03776320253941904,0.04002162768093128,0.09469342478230233,0.036242882530643374,0.07629866341540822,0.043000159354412135,0.10470175251557635,0.08381003087882768,0.015488586128160058,0.019617148589385774,0.019893082444509994
ACH-000969,0.022785886162010768,0.02514710275760843,0.03004707897356535,0.04316957164710029,0.023924552805146056,0.059823934258795085,0.039158956226410704,0.03707559059701058,0.036143137699477614,0.12910994889845506,0.054782244891477996,1.0,0.040406472183476705,0.040480237791348773,0.03424129045407562,0.05107580465498036,0.07394283890392095,0.03445195865764961,0.05243368725501389,0.042713192618147856,0.03467590190476786,0.03193793786495075,0.03608156715963575,0.04695246573796597,0.038205131117193446,0.038329919740758084,0.03749528113768664,0.0768598514614174,0.049894707997836345,0.08517290978724411,0.03422811475844302,0.08400861030077875,0.06581629513392101,0.020433242452586122,0.02373281649103441,0.030899305739261296
ACH-000202,0.028427269170788697,0.04286392889278651,0.015417562814416018,0.052988052390096935,0.02706901421711703,0.029424556790605492,0.04969294666903884,0.04200466167437709,0.021992595950977627,0.06301222929281934,0.03719882830536891,0.040406472183476705,1.0,0.04413789147642538,0.04671878119576736,0.05888016162615705,0.04477774211251126,0.037858392785031635,0.07643957338043812,0.021195752305018037,0.025534328240096545,0.035192681191469725,0.07350103859015675,0.07939709792198515,0.03858011749154357,0.07129776173818957,0.05160164340260742,0.06362987713217585,0.0526654151450821,0.04987345137654701,0.04846479359141133,0.06430055648867296,0.028631505915575246,0.04100361094199399,0.039321354582752224,0.04755492921061934
ACH-000820,0.04598567659253675,0.015209686168559979,0.022377208242342204,0.038291722464565574,0.021299342493427294,0.029087382771911228,0.03175422835598124,0.02843559309573017,0.015938157315210814,0.04621010310121575,0.02751134094378822,0.040480237791348773,0.04413789147642538,1.0,0.028766977740787306,0.04592692956809052,0.023692976277176182,0.03278752134099022,0.040494375781141505,0.01896688146353328,0.032882680799616766,0.02940345003436731,0.031992464842525555,0.03523723824484878,0.030980765954311658,0.033754489556333034,0.02202583247325851,0.03995391238827548,0.029962979767474793,0.05304501560344481,0.02329964929183226,0.0480934617500899,0.03579197776904508,0.017940137009513205,0.03264065614380207,0.03484780230388056
ACH-000565,0.014621284755512944,0.03151080389556458,0.01377251146588479,0.08263633604262925,0.017796040388517367,0.054803803615173875,0.027214495204850926,0.0480395619922289,0.015519479839596268,0.042617987725043854,0.027000499831253553,0.03424129045407562,0.04671878119576736,0.028766977740787306,1.0,0.03928895338291311,0.04270551793252149,0.01954451243584682,0.04240551042034617,0.016933191326071125,0.021062607585633327,0.04111443235012126,0.03423244544560817,0.05153625324902045,0.031065158063647118,0.036072593600015766,0.02375081009237799,0.047549590610799206,0.04079956188389924,0.038614262407401095,0.02558550781141218,0.033336639446336275,0.022812767742396114,0.024017147958869528,0.020134228187919462,0.027012740764991543
