,ACH-000706,ACH-000667,ACH-000314,ACH-000062,ACH-000710,ACH-000852,ACH-000675,ACH-000677,ACH-000893,ACH-000845,ACH-000851,ACH-000892,ACH-000029,ACH-000951,ACH-000774,ACH-000012,ACH-000787,ACH-000590,ACH-000343,ACH-000587,ACH-000578,ACH-000791,ACH-000030,ACH-000733,ACH-000900,ACH-000451,ACH-000109,ACH-000861,ACH-000875,ACH-000888,ACH-000447,ACH-000309,ACH-000731,ACH-000681,ACH-000482,ACH-000327
ACH-000706,1.0,0.04202250491377074,0.0362263176141887,0.016482033468678856,0.042435360010043874,0.03303341948908311,0.02275778103830425,0.03466084441500105,0.042289101386562306,0.023943310729786806,0.03980289726887724,0.023329217251680055,0.020749115909918472,0.029633896245284452,0.025892706041631408,0.012674247466556673,0.03532651795884821,0.03129125063462515,0.053582809959968204,0.02631127435405361,0.013932513128654608,0.019464188337940242,0.021713335628328046,0.02322136013959154,0.03258661222263971,0.021707408411782175,0.021137794179463803,0.03270139462883953,0.02491658071952921,0.019521370562891605,0.027070070566909084,0.054658766573936916,0.020366340120189116,0.04007862158763922,0.031160336335454227,0.0407500557129668
ACH-000667,0.04202250491377074,1.0,0.05246991578268275,0.012768402460045541,0.08382082303017271,0.06310786514638067,0.0490814911262702,0.06915530031107921,0.06553743851421544,0.03803237466603803,0.06322938508190833,0.05176251199375278,0.04253053017203591,0.04118668839864405,0.046599090764125196,0.023462446202970985,0.06433277987684503,0.0710392761950227,0.0948182009042879,0.07453608207822937,0.05745541459827174,0.06265664160401002,0.03349117063030874,0.03486767695864304,0.05597346044341802,0.03609384086394168,0.037620384074075905,0.03514137559077972,0.050374363581910754,0.04011339148872423,0.047587740753060576,0.17366921086251516,0.04522527143712063,0.05711491927307465,0.06727575672543545,0.08717586044318718
ACH-000314,0.0362263176141887,0.05246991578268275,1.0,0.01580222527430132,0.049126817792004694,0.05057311268475108,0.02886450871323303,0.02677765147088508,0.03784611322702742,0.0234721146533258,0.07197550234133163,0.027015222523225,0.03019887758538832,0.04213763712939688,0.03632861846196139,0.01733553584526532,0.035467960447103215,0.044632370213765565,0.062271338233424525,0.022163216873208602,0.017650011836058348,0.024147534092454532,0.021731592558524804,0.035863235898953016,0.04593990699423469,0.02122655526970461,0.027152122958969408,0.03302400975091808,0.027956174292286622,0.026523159715548722,0.033215091448273906,0.0866593819036986,0.031093786177081237,0.028900666925899664,0.03331792832532618,0.06231134741381115
ACH-000062,0.016482033468678856,0.012768402460045541,0.01580222527430132,1.0,0.013779153538008454,0.017384112772488254,0.008969066685564454,0.01762461944760298,0.016193767389337487,0.010623690106236901,0.015184154936941837,0.01665232716272099,0.009589923925073903,0.009012012184608311,0.01195453210096947,0.007192866719158988,0.010642041177048214,0.005843684637384215,0.021658023507226114,0.007854649317676928,0.010173886086294845,0.006915097963887821,0.020783798613304958,0.006782342243591341,0.01497973263687075,0.01618884296309325,0.01254755678931258,0.019522564831184044,0.006629022632327963,0.009737168575632555,0.01591632783030422,0.0158779627655212,0.00849178995924465,0.008579744807590339,0.01205629844845858,0.010536966105369661
ACH-000710,0.042435360010043874,0.08382082303017271,0.049126817792004694,0.013779153538008454,1.0,0.06984595519274554,0.05749557736453046,0.0771809154231025,0.05347182772569862,0.04411596257239607,0.07274684202566159,0.04306640383362338,0.034107610510406734,0.051681554990008025,0.040336662122321246,0.029752154967967976,0.0599252940089297,0.07490581116565818,0.08739715637062839,0.04506657635489098,0.034843256643690486,0.04422276769291269,0.03267384461826573,0.042762061996105806,0.061414980697059356,0.043915357743337775,0.04538925860589477,0.040231681885428985,0.04469501630308736,0.04681493802497292,0.05999359431641165,0.12011991518194448,0.04984870140238417,0.05431375244328068,0.06866589052099663,0.07541182534739374
ACH-000852,0.03303341948908311,0.06310786514638067,0.05057311268475108,0.017384112772488254,0.06984595519274554,1.0,0.04835761429931809,0.05005863590783682,0.04202779928783894,0.03000621369916022,0.05646777338807717,0.038901582212010406,0.04120945108162907,0.04819305985849852,0.03227911944460927,0.02051334304055009,0.04954980005156698,0.053272414406930514,0.054315866650931674,0.03707705950243081,0.02491805704883495,0.0406274517560342,0.04407115690318008,0.029581632299694873,0.0381950476199359,0.0382590112422633,0.02802410980719428,0.04024618436019037,0.03630356015967894,0.03477102281082478,0.0463442869789578,0.10646922463042956,0.03910666539826215,0.03973067962619949,0.038668017824990665,0.0760389342203668
ACH-000675,0.02275778103830425,0.0490814911262702,0.02886450871323303,0.008969066685564454,0.05749557736453046,0.04835761429931809,1.0,0.032498658340244915,0.06193052778255322,0.02423179211124996,0.04140470692964642,0.038398119778015674,0.03581611165980284,0.03822337741762862,0.030779404250202893,0.017337031900138695,0.0411913883930515,0.04650116391301879,0.05734966592427617,0.02446611535362063,0.03544485886718896,0.03330104184409243,0.02289238560718314,0.0366335034295371,0.03293641630104115,0.03222842827621164,0.034821237245949196,0.029544569310001587,0.02423520791353728,0.047854548012842654,0.031473577897960514,0.09741736664121305,0.030854002893447908,0.03218926786812923,0.033974643247438194,0.061371719696241465
ACH-000677,0.03466084441500105,0.06915530031107921,0.02677765147088508,0.01762461944760298,0.0771809154231025,0.05005863590783682,0.032498658340244915,1.0,0.045438047647370125,0.02463016402142727,0.054950012718799346,0.03487653731267236,0.025087047521677484,0.030641395956158748,0.03921309333042924,0.017946877243359655,0.06093246501566127,0.03951923359487496,0.06527067408311044,0.04659910223052019,0.026738421838924352,0.025573775309295013,0.0303596570552077,0.03349726447939355,0.03623209116939402,0.027812254041290792,0.03226872904420234,0.03606628984446751,0.03186372112132992,0.021889751789249276,0.04425483120299484,0.10845237423070409,0.04420667069639039,0.03970587093116277,0.04308860780247076,0.059655953032489176
ACH-000893,0.042289101386562306,0.06553743851421544,0.03784611322702742,0.016193767389337487,0.05347182772569862,0.04202779928783894,0.06193052778255322,0.045438047647370125,1.0,0.027614504227682787,0.049157447141836036,0.04264130394981319,0.03556319573263117,0.0496070330444482,0.0436783532758765,0.021041248345963336,0.03811554712281479,0.05085593760729877,0.06801486995020518,0.026966246606426516,0.01835326206248853,0.03754571268182883,0.029559683004031445,0.02687753070241007,0.040898581425629174,0.025181808314338434,0.023166249206879146,0.029518271666142754,0.039688875602994014,0.035485942532419296,0.03831070135166409,0.1013644407677728,0.03968135782659401,0.034606636695854835,0.03196508090472201,0.05721074437359859
ACH-000845,0.023943310729786806,0.03803237466603803,0.0234721146533258,0.010623690106236901,0.04411596257239607,0.03000621369916022,0.02423179211124996,0.02463016402142727,0.027614504227682787,1.0,0.027879435508020717,0.019678583827964547,0.02288376630369371,0.024032639484420883,0.030349242354576016,0.015087223008015087,0.03625923130429635,0.030640958832725378,0.03653333039317295,0.019335629215095424,0.028148374683028148,0.02972468299461525,0.020031274198034837,0.03104619335653702,0.0315630322080812,0.021206939971105544,0.022693271024895358,0.025510129021817485,0.02697552774145339,0.025830843953960615,0.01915741909761446,0.056101902325063964,0.030822830936594558,0.017149473834555017,0.02691949455957015,0.03874783517955756
